Total_Population,Median_Income,Percent_Bachelor_or_Higher,ZIP
1515,73519,91.6,03442
303,-666666666,100.0,03443
1686,96516,97.6,03444
687,96750,90.9,03445
6535,78451,93.5,03446
2287,85733,93.6,03447
871,70000,93.4,03448
1785,85000,96.4,03449
977,89737,96.8,03450
3965,67054,90.2,03451
5363,82167,96.9,03452
2292,70850,92.6,03455
803,103333,98.1,03456
773,92143,96.8,03457
6864,98067,94.8,03458
6446,97794,95.5,03461
1532,109864,100.0,03462
927,87917,99.7,03464
1889,57500,93.8,03465
1742,106994,90.6,03466
2042,94609,96.7,03467
4925,67130,88.0,03470
6021,50881,85.1,03561
9485,41638,85.2,03570
2528,81781,97.6,03574
0,-666666666,-666666666.0,03575
2660,49205,84.1,03576
417,60000,94.2,03579
1425,73011,96.8,03580
3285,58484,95.4,03581
2062,51352,89.3,03582
972,63765,88.1,03583
3440,75987,93.3,03584
2557,68068,91.6,03585
633,124500,95.7,03586
1609,71538,92.0,03588
1193,48611,76.2,03590
1023,59167,91.3,03592
408,95556,99.7,03593
795,77500,96.2,03595
670,59792,82.3,03597
3463,60504,91.4,03598
478,74167,100.0,03601
2364,56696,93.5,03602
5218,47259,90.1,03603
0,-666666666,-666666666.0,03604
934,92500,89.1,03605
320,88333,80.6,03607
3093,86042,90.1,03608
558,79318,93.8,03609
1077,64904,90.7,03740
4164,80000,90.7,03741
13647,53957,87.7,03743
1914,86779,97.1,03745
4547,91995,97.1,03748
1035,207625,96.8,03750
374,38497,100.0,03751
1077,59896,89.6,03752
3407,114201,98.4,03753
10170,152865,97.3,03755
469,74000,95.9,03765
10334,95938,94.5,03766
1684,135982,98.1,03768
638,155526,99.1,03770
856,78958,83.8,03771
7758,74523,90.2,03773
1770,47188,84.2,03774
1313,82625,97.0,03777
849,88438,94.0,03779
637,-666666666,99.1,03780
1840,107969,98.4,03781
3074,116048,85.4,03782
4181,72114,93.3,03784
2154,57216,88.2,03785
23102,100839,97.3,03801
3617,86116,94.1,03809
2286,139848,98.1,03810
7154,137674,96.4,03811
979,39241,98.4,03812
3655,57340,88.8,03813
2507,71318,92.3,03814
1469,75323,90.6,03816
882,55904,93.0,03817
3751,69071,95.7,03818
4234,117396,95.6,03819
32925,90868,96.4,03820
2213,165583,98.2,03823
15073,98190,98.1,03824
9339,103258,97.0,03825
3022,108750,96.6,03826
3164,124464,96.4,03827
1350,64375,95.5,03830
355,67813,95.8,03832
22543,103734,97.3,03833
6777,60962,89.5,03835
1336,74167,95.2,03836
1622,110562,92.4,03837
1097,100701,98.2,03838
3856,81297,93.0,03839
4052,143625,98.3,03840
6227,106679,97.4,03841
16123,92745,95.7,03842
2375,152045,97.5,03844
1078,57554,96.4,03845
1144,93984,95.7,03846
192,-666666666,100.0,03847
6226,90074,93.9,03848
1360,95446,95.3,03849
130,-666666666,100.0,03850
4195,86392,89.8,03851
314,-666666666,98.1,03852
824,96439,98.6,03853
904,164167,96.1,03854
2711,97000,94.2,03855
1985,184688,96.5,03856
9400,98002,98.4,03857
4808,141328,96.2,03858
4040,67105,95.1,03860
4547,116350,96.6,03861
4552,116034,94.8,03862
1934,66563,94.0,03864
7843,103788,98.6,03865
22349,74194,91.6,03867
6368,70905,95.6,03868
2427,80921,95.8,03869
5170,137250,98.0,03870
356,-666666666,100.0,03871
4020,99044,97.1,03872
6536,125888,94.5,03873
8614,85767,89.9,03874
1236,94911,92.8,03875
12088,75833,94.7,03878
1760,76667,95.1,03882
583,75893,88.8,03883
4261,133889,90.6,03884
7715,126830,98.2,03885
1278,75978,100.0,03886
1954,92750,89.4,03887
51,-666666666,100.0,03890
6528,75976,95.8,03894
5,-666666666,100.0,03897
7991,80147,93.8,03901
2607,104018,98.0,03902
6848,92474,98.2,03903
8113,73407,95.4,03904
1990,130100,98.8,03905
5003,90785,95.0,03906
1257,100455,98.2,03907
7521,96701,97.4,03908
10811,106616,98.9,03909
0,-666666666,-666666666.0,03910
315,108623,100.0,03911
2671,68482,96.0,04001
7618,65993,92.0,04002
123,-666666666,100.0,04003
24590,65485,93.6,04005
75,250001,100.0,04006
3083,101223,96.6,04008
5366,78546,91.1,04009
1741,55532,90.4,04010
21691,71236,95.1,04011
3657,60708,94.5,04015
597,58571,97.4,04017
55,-666666666,92.7,04019
1881,66528,90.9,04020
6633,140887,97.7,04021
1131,66016,96.3,04022
432,63700,89.7,04024
6499,96173,89.3,04027
2011,69375,88.5,04029
2473,82917,94.1,04030
8700,95398,95.7,04032
3820,50388,91.2,04037
17999,103152,96.3,04038
7893,91092,96.4,04039
3044,55476,92.1,04040
1644,57778,92.0,04041
4766,84219,92.1,04042
11566,96814,97.3,04043
7965,93810,97.4,04046
1720,72368,87.4,04047
3244,84464,94.6,04048
3920,76991,96.7,04049
282,101250,96.7,04050
1436,72361,91.3,04051
3928,66635,97.8,04055
106,49000,93.3,04056
105,-666666666,100.0,04057
2909,81487,97.3,04061
18648,92813,97.6,04062
617,42708,100.0,04063
8423,63160,95.6,04064
644,-666666666,100.0,04066
1497,53578,94.0,04068
1600,100750,97.9,04069
4958,83237,99.3,04071
20446,81326,95.4,04072
17389,70605,89.9,04073
22098,114395,98.1,04074
2926,81969,93.7,04076
4250,83077,96.5,04079
4597,80962,95.3,04083
7345,89375,96.3,04084
3107,94318,93.1,04085
9566,75978,95.4,04086
2597,90922,92.0,04087
1127,57813,92.2,04088
11365,75705,91.7,04090
740,78750,86.7,04091
20339,81198,96.1,04092
8408,76364,97.6,04093
1464,56136,94.1,04095
8984,108063,97.9,04096
4106,118304,97.3,04097
17832,54513,92.7,04101
17501,77350,96.3,04102
31892,81523,96.0,04103
12436,143235,98.9,04105
26873,81551,96.2,04106
9519,144250,99.3,04107
859,90893,95.2,04108
141,-666666666,100.0,04109
1810,152179,99.8,04110
24038,59659,92.0,04210
622,41750,92.8,04216
3364,42930,95.2,04217
1269,54671,91.4,04219
3445,85819,92.2,04220
1075,50417,90.2,04221
4176,89273,92.4,04222
2872,58954,94.1,04224
81,43000,92.9,04226
45,21161,90.2,04227
282,41875,94.0,04231
0,-666666666,-666666666.0,04234
4377,92337,96.4,04236
234,32222,100.0,04237
